Code;pH;TOC;P;K;Mg;Ca;Na;MC;CEC
AA_1;7.2;1.32;26;35;19;319;8.6;20.48163464;18.80468227
AA_2;6.6;1.24;21;36;22;260;10.6;23.1367466;16.21727982
AA_3;7.2;1.3;33;28;13;281;4.5;19.93047509;16.04693423
AA_4;6.9;1.12;27;42;11;177;13;16.91772885;11.40880713
AA_5;7;1.13;24;15;9;216;4.5;17.99213789;12.13026756
AA_6;6.8;1.11;23;22;20;293;12.4;20.52761748;17.41989967
AA_7;6.3;0.93;15;13;8;154;5.1;17.15289982;8.92173913
AA_8;6.8;0.98;21;22;11;203;5.8;19.589309;11.88294314
AA_9;6.7;1.09;22;21;14;273;5.1;21.45464757;15.57686734
AA_10;6.7;1.09;26;22;11;198;6;18.82497693;11.6416388
AA_11;6.3;0.96;14;15;7;150;5.9;16.36726547;8.724470457
AA_12;6.6;1.26;24;28;17;245;6.7;22.04815782;14.67591973
AA_13;6.7;1.1;16;19;13;246;5.8;20.81694402;14.12268673
AA_14;7;1.16;34;26;12;230;8.4;18.48184818;13.53188406
AA_15;7;1.27;18;17;9;193;7.1;16.70984456;11.14459309
AA_16;7;0.77;15;18;10;199;5;19.77063077;11.4622631
AA_17;7.1;1.05;18;24;15;284;11.3;20.24486226;16.55668896
AA_18;7.1;1.04;28;32;12;193;9;18.67140514;11.86181717
AA_19;6.6;1.05;16;23;10;149;6.8;19.31818182;9.168729097
AA_20;6.8;1.14;17;18;13;248;5.1;20.98044937;14.16661093
AA_21;7.1;1.05;17;19;12;241;5.8;20.3471827;13.7893534
AA_22;7.1;0.98;24;21;12;219;4.9;16.33733239;12.70150502
AA_23;6.6;1.02;19;17;9;179;5.1;18.46938776;10.35763657
AA_24;6.4;1.2;14;22;14;214;4.6;22.04195804;12.63076923
AA_25;7;1.19;22;25;14;215;7.8;18.9766181;12.89682274
AA_26;7.2;1.37;25;34;12;200;4.8;18.23770492;12.08049052
AA_27;7.3;1.26;32;21;19;454;3.4;19.37017231;24.96962096
AA_28;6.7;0.97;19;22;24;287;8.2;22.90965571;17.2706243
AA_29;7.2;1.32;19;29;21;257;10.6;21.25917561;15.80445931
AA_30;7.1;1.17;24;23;16;216;5.5;16.72883788;12.96220736
AA_32;6.7;1.18;20;20;17;215;13.5;21.20863309;13.2664437
AA_33;7.4;1.28;31;28;19;376;8.2;20.51987768;21.45780379
AA_34;7.1;1.43;22;15;14;223;4.9;16.94262611;12.91432553
AA_35;7;1.1;20;21;13;237;3.8;20.32049096;13.63701226
